LIBRARY	library
QUIZTYPE_SQMAQUIZ	Κουίζ: Συμπληρώστε τα πεδία
QUIZTYPE_FIBQUIZ	Κουίζ: Συμπληρώστε τα κενά
QUIZTYPE_MATCHQUIZ	Κουίζ: Συμφωνία
QUIZTYPE_CONNQUIZ	Κουίζ: Σύνδεση
QUIZTYPE_SCALEQUIZ	Κουίζ: Ελεγχος ολίσθησης
QUIZTYPE_GRIDQUIZ	Κουίζ: Πλέγμα
QUIZTYPE_HOTSPOTQUIZ	Κουίζ: Ενεργό σημείο
QUIZTYPE_PUZZLEQUIZ	Κουίζ: Πάζλ
QUIZTYPE_MIXQUIZ	Κουίζ: Ταξινόμηση
CONNECTING	Σύνδεση...
SYNCHRONIZE	Συγχρονισμ.
SYNCHRONIZED	Συγχρονίστηκε
CONNECT	Σύνδεση
BUBBLESTYLE_NOT_FOUND	Στιλ φυσαλίδας δεν βρέθηκε.
LOADING_MACROSET	Φόρτωση περιεχομένων και πόρων.
ZOOM_LEVEL_NOTIFICATION	Προειδοποίηση: Το επίπεδο ζουμ δεν είναι 100%.
ctx_html.header_title	Θεματική Βοήθεια
ctx_html.introtext	Η ακόλουθα περιεχόμενα βοήθειας είναι διαθέσιμα για το τρέχον γενικό πλαίσιο. Κάντε κλικ στο στοιχείο που θέλετε να ξεκινήσετε.
ctx_html.introtext_noresult	Μη διαθέσιμα περιεχόμενα για το τρέχον γενικό πλαίσιο. Ανοίξτε τη βιβλιοθήκη από την κεφαλίδα ή χρησιμοποιήστε την αναζήτηση για να λάβετε περισσότερα περιεχόμενα
ctx_html.query_empty	Ερώτημα κενό.
ctx_html.query_malformed	Ερώτημα άκυρο.
ctx_html.search	Αναζήτ
ctx_html.library	Ανοιγμα βιβλιοθήκης
ctx_html.language	Γλώσσα
qr_hint_dlg.IDC_QR_HINT_DLG_CAPTION	Καταγραφή
qr_hint_dlg.dont_bother	Μην εμφανίσετε ξανά
qr_hint_dlg.hint_end	Ολοκληρώστε την αντιγραφή.
qr_hint_dlg.hint_pause	Διακόψτε την αντιγραφή.
btnOk	Ευχαριστώ
qr_hint_dlg.hint_title	Κάποια ίχνη καταγραφής
qr_hint_dlg.audio_help	Αντιγράψτε το κείμενό σας πριν επιλέξετε έναν έλεγχο.
quiz_error_no_template_file	Λάθος: Αρχείο προτύπου δεν βρέθηκε. Προεπιλογή θα χρησιμοποιηθεί.
qr_hint_dlg.hint_end_1	Πλήκτρο ΤΕΛΟΣ
qr_hint_dlg.hint_pause_1	Πλήκτρο ΠΑΥΣΗ
